id,popularity,revenue,vote_average,title
862,21.946943,373554033,7.7,Toy Story
8844,17.015539,262797249,6.9,Jumanji
15602,11.7129,0,6.5,Grumpier Old Men
31357,3.859495,81452156,6.1,Waiting to Exhale
11862,8.387519,76578911,5.7,Father of the Bride Part II
949,17.924927,187436818,7.7,Heat
11860,6.677277,0,6.2,Sabrina
45325,2.561161,0,5.4,Tom and Huck
9091,5.23158,64350171,5.5,Sudden Death
710,14.686036,352194034,6.6,GoldenEye
9087,6.318445,107879496,6.5,The American President
12110,5.430331,0,5.7,Dracula: Dead and Loving It
21032,12.140733,11348324,7.1,Balto
10858,5.092,13681765,7.1,Nixon
1408,7.284477,10017322,5.7,Cutthroat Island
524,10.137389,116112375,7.8,Casino
4584,10.673167,135000000,7.2,Sense and Sensibility
5,9.026586,4300000,6.5,Four Rooms
9273,8.205448,212385533,6.1,Ace Ventura: When Nature Calls
11517,7.337906,35431113,5.4,Money Train
8012,12.669608,115101622,6.4,Get Shorty
1710,10.701801,0,6.5,Copycat
9691,11.065939,30303072,6,Assassins
12665,12.133094,0,6.3,Powder
451,10.332025,49800000,7.1,Leaving Las Vegas
16420,1.845899,0,7,Othello
9263,8.681325,27400000,6.6,Now and Then
17015,2.228434,0,7.4,Persuasion
902,9.822423,1738611,7.6,The City of Lost Children
37557,1.100915,0,6.5,Shanghai Triad
9909,9.481338,180000000,6.4,Dangerous Minds
63,12.297305,168840000,7.4,Twelve Monkeys
78802,0.745542,0,6.8,Wings of Courage
9598,14.404764,254134910,6,Babe
47018,1.493361,0,6.4,Carrington
687,6.891317,39363635,7.3,Dead Man Walking
139405,0.114469,0,3.5,Across the Sea of Time
33689,7.777735,0,6.1,It Takes Two
9603,9.882383,0,6.9,Clueless
34615,0.894647,676525,6.7,"Cry, the Beloved Country"
31174,4.561387,0,6.9,Richard III
11443,9.87957,0,6.6,Dead Presidents
35196,10.979269,0,6.3,Restoration
9312,10.870138,122195920,5.4,Mortal Kombat
577,10.448481,21284514,6.7,To Die For
11861,4.485958,23574130,6.5,How To Make An American Quilt
807,18.45743,327311859,8.1,Se7en
10530,13.280069,346079773,6.7,Pocahontas
8391,3.302524,0,5.9,When Night Is Falling
629,16.302466,23341568,8.1,The Usual Suspects
117164,0.595949,0,6.3,Guardian Angel
11448,15.899134,6700000,6.7,Mighty Aphrodite
49133,1.361286,0,7.7,Lamerica
26441,5.982764,0,5.2,The Big Green
97406,4.093443,0,6.1,Georgia
124057,0.307075,0,3,Kids of the Round Table
9089,8.416802,17519169,6.3,Home for the Holidays
11010,10.168437,0,7.6,The Postman
99040,0.120789,0,6.5,The Confessional
11359,10.673296,0,5.9,The Indian in the Cupboard
17182,4.733526,0,5.8,Eye for an Eye
2054,7.137117,106269971,6.9,Mr. Holland's Opus
10607,11.700115,0,6.2,Don't Be a Menace to South Central While Drinking Your Juice in the Hood
19760,2.174487,0,4.5,Two If by Sea
9536,6.387469,0,4.4,Bio-Dome
11525,2.49535,2409225,2.8,Lawnmower Man 2: Beyond Cyberspace
40628,4.046208,0,5.4,Two Bits
4482,2.518051,0,6,French Twist
10634,14.56965,28215918,7,Friday
755,15.339153,25836616,6.9,From Dusk Till Dawn
11859,5.912223,11534477,4.1,Fair Game
28387,3.367276,718490,7,Kicking and Screaming
48750,1.479446,0,6.6,Les Miserables
20927,10.412194,19030691,5.1,Bed of Roses
36929,2.936443,2042530,3.9,Big Bully
9102,12.758848,5781885,6.1,Screamers
124626,0.133893,0,7.3,Nico Icon
27526,5.756462,0,6.1,The Crossing Guard
9623,6.010579,0,5.5,The Juror
46785,1.196256,0,7.5,The White Balloon
400,4.486179,529766,6.7,Things to Do in Denver When You're Dead
880,2.030174,0,7.2,Antonia's Line
146599,0.252287,0,4.5,Once Upon a Time... When We Were Colored
188588,0.531159,0,0,Last Summer in the Hamptons
8447,2.15166,0,6.3,Angels and Insects
10534,9.568604,10300000,6.3,White Squall
17414,4.814825,0,5.1,Dunston Checks In
13997,8.963037,32,6,Black Sheep
2086,6.848591,8175346,6.1,Nick of Time
61548,0.411424,0,6.7,The Journey of August King
9095,12.866139,12379402,5.7,Mary Reilly
12158,9.071127,19800000,4.5,Vampire in Brooklyn
9283,4.670562,0,6.6,Beautiful Girls
9208,14.957626,150270147,5.7,Broken Arrow
40154,0.513391,0,7.5,A Midwinter's Tale
406,12.108196,0,7.9,La Haine
45549,2.657647,0,5.6,Shopping
63076,0.638211,0,6.8,Heidi Fleiss: Hollywood Madam
11062,4.807223,0,6,City Hall
13685,6.904831,560069,6.8,Bottle Rocket
47475,3.329264,0,3.3,Mr. Wrong
2045,2.464425,0,5.3,Unforgettable
9614,9.592265,41205099,6.5,Happy Gilmore
688,5.951077,182016617,7.3,The Bridges of Madison County
11907,1.015068,0,5.1,Nobody Loves Me
10874,6.902423,34327391,6.5,Muppet Treasure Island
89333,0.976707,0,7,Catwalk
96357,0.001346,0,0,Headless Body in Topless Bar
197,20.755149,210000000,7.7,Braveheart
103,14.092713,28262574,8.1,Taxi Driver
33542,12.314278,32392047,6.5,Rumble in the Bronx
43566,2.938293,0,5.8,Before and After
71754,0.372697,0,7.5,Margaret's Museum
43612,1.254885,0,7,Happiness Is in the Field
51352,0.243986,1,7.3,Anne Frank Remembered
16934,6.178497,0,6.9,The Young Poisoner's Handbook
10324,2.891918,0,5.4,If Lucy Fell
78406,1.522412,6278139,5.1,Steal Big Steal Little
55731,1.317878,0,5.2,Race the Sun
32119,0.86539,0,7,The Boys of St. Vincent
11066,6.506983,70100000,5.4,Boomerang
11104,6.778979,0,7.9,Chungking Express
37975,1.702639,0,6.8,The Star Maker
2074,5.579088,14702438,6.3,Flirting with Disaster
27793,6.252377,0,4.4,The Neverending Story III: Escape from Fantasia
44284,0.406754,0,4.3,The Silences of the Palace
290157,0.001178,0,0,Jupiter's Wife
110972,0.699066,0,7,Pie in the Sky
32622,2.197439,0,5.6,Angela
73067,0.637554,0,5.4,Frankie Starlight
11863,11.418917,9851610,5.1,Jade
55475,0.291021,0,5.5,Nueba Yol
124636,0.001838,0,0,Sonic Outlaws
9101,5.184977,0,5.6,Down Periscope
123360,0.276401,0,6.5,From the Journals of Jean Seberg
5757,0.540436,209935,3.8,Man of the Year
39428,0.370342,0,7.2,The Neon Bible
124639,0.001205,0,0,Target
9302,3.402749,0,5.9,Up Close & Personal
11000,6.49968,185260553,6.7,The Birdcage
249882,0.918504,0,7,Virgin Mary
16388,2.039196,0,6.3,The Brothers McMullen
9737,9.262184,141407024,6.5,Bad Boys
30765,2.375865,0,5,The Amazing Panda Adventure
10474,7.415144,0,7.2,The Basketball Diaries
22279,0.922958,851545,6,An Awfully Big Adventure
30157,1.759012,0,6.5,Amateur
568,18.761467,355237933,7.3,Apollo 13
11780,10.193549,31596911,6.5,Rob Roy
34996,3.137285,0,6.4,The Addiction
414,13.321354,336529144,5.2,Batman Forever
649,10.142662,0,7.3,Belle de Jour
1873,2.04189,0,6.4,Beyond Rangoon
5894,11.528147,1275000,6.8,Blue in the Face
1775,5.391556,178104,5.9,Canadian Bacon
8839,12.812539,287928194,6,Casper
20649,4.558992,13071518,6.8,Clockers
10329,7.260574,152022101,5,Congo
8963,8.657365,157387195,7,Crimson Tide
26564,3.620388,3174695,7.6,Crumb
8068,6.950458,25405445,6.8,Desperado
8512,4.646132,16140822,6.3,Devil in a Blue Dress
1572,15.138855,366101666,6.9,Die Hard: With a Vengeance
13552,7.120806,0,5.6,The Doom Generation
259209,0.523575,0,0,Feast of July
6520,15.178338,127600435,5.9,First Knight
9073,7.575098,0,5.5,Free Willy 2 - The Adventure Home
10428,14.810519,7563728,6.2,Hackers
17447,3.196456,0,6.5,Jeffrey
9886,11.715868,19075720,5.5,Johnny Mnemonic
9482,8.184815,113493481,5.4,Judge Dredd
19326,3.676921,17014653,4,Jury Duty
9344,4.877872,7412216,6.8,Kids
9071,10.058329,1148752,7.2,Living in Oblivion
8973,4.102409,0,5.9,Lord of Illusions
15730,0.354014,0,7,Love & Human Remains
47608,2.624771,15453274,5.5,Mad Love
2293,8.25547,2122561,6.8,Mallrats
9070,7.024227,66000000,5.2,Mighty Morphin Power Rangers: The Movie
68274,1.01115,0,5.6,Moonlight and Valentino
48787,2.466066,1,6.4,Mute Witness
34574,7.720056,0,5.9,Nadja
1642,13.304342,110627965,5.6,The Net
11472,8.482834,69660733,5.5,Nine Months
36196,1.165039,472370,5.8,Party Girl
11980,10.187623,16,6.4,The Prophecy
58372,0.119713,0,10,Reckless
32646,8.180047,0,7.2,Safe
10533,6.752119,10382407,5.5,The Scarlet Letter
56088,0.159596,0,5.3,The Show
10802,17.502375,20350754,4.9,Showgirls
10149,5.552946,8349430,7.2,Smoke
18402,3.743212,50892160,5.7,Something to Talk About
9348,13.492845,113374103,5.5,Species
139408,0.913522,0,6.6,The Stars Fell on Henrietta
281,11.223055,7959291,6.8,Strange Days
5967,8.133881,0,7.6,The Umbrellas of Cherbourg
79593,1.820419,5780000,4.6,The Tie That Binds
47939,11.002046,7025496,6.1,Three Wishes
36834,4.546552,339889,6.5,Total Eclipse
9090,7.653446,47774193,6.3,"To Wong Foo, Thanks for Everything! Julie Newmar"
3512,7.490247,104324083,5.6,Under Siege 2: Dark Territory
52856,2.881689,0,6.4,Unstrung Heroes
77350,0.786023,0,6,Unzipped
9560,9.715639,50012507,6.5,A Walk in the Clouds
9804,16.885184,264218220,5.9,Waterworld
31611,1.834099,0,5.1,White Man's Burden
65796,8.922139,0,5.9,Wild Bill
49805,3.727644,0,6,The Browning Version
26258,3.287036,0,4.9,Bushwhacked
50797,2.486073,2616503,6.7,Burnt by the Sun
19155,3.525649,763847,7.7,Before the Rain
76,11.304979,5535405,7.7,Before Sunrise
11017,6.638116,26488734,6.2,Billy Madison
37141,2.761837,0,4.7,The Babysitter
9382,3.030309,23450000,6.3,Boys on the Side
6715,2.686342,0,7.2,The Cure
18256,2.26977,0,5.8,Castle Freak
22625,2.605521,0,6.5,Circle of Friends
2292,10.513367,3151130,7.4,Clerks
1909,7.438934,22200000,6.3,Don Juan DeMarco
8984,11.812244,214015089,5.9,Disclosure
61813,0.155859,0,2.5,Dream Man
4954,9.579155,0,5.1,Drop Zone
62488,0.710671,0,5.3,Destiny Turns on the Radio
10531,5.484156,0,7.1,Death and the Maiden
11929,5.8025,0,7.1,Dolores Claiborne
8467,9.844558,247275374,6.5,Dumb and Dumber
10451,4.860016,7294403,7.5,Eat Drink Man Woman
20156,5.378467,0,6.5,Exotica
18395,4.322726,6841570,4.3,Exit to Eden
522,11.720358,5887457,7.3,Ed Wood
397,9.146544,0,6.2,French Kiss
10525,16.236745,0,6.1,Forget Paris
27985,2.657337,0,5.6,Far from Home: The Adventures of Yellow Dog
15789,10.177977,35348597,6.7,A Goofy Movie
27303,8.182165,12201255,5,Hideaway
21183,4.953936,0,6.6,Fluke
10954,8.935058,0,5.9,Farinelli
47867,0.398924,3992809,3,Gordy
43475,0.090452,0,5,Gumby: The Movie
72031,1.012197,0,5.4,The Glass Shield
14275,9.47666,7830611,7.7,Hoop Dreams
